Site,PC1,PC2,PC3
100008335,0.059892121,0.013498487,0.04473497
100022335,0.03222085,-0.028732536,0.076191383
100058435,0.028388915,0.040994256,-0.000832977
100059035,-0.028896346,0.000603152,0.043353087
100064135,-0.032086736,0.006987277,0.011032071
100070435,-0.096420809,-0.083977534,0.000418545
100127235,-0.107149111,0.041347167,0.017626515
100220235,-0.048670453,0.076682418,-0.092674915
100220835,0.022630204,0.107956877,0.031721566
100234435,-0.050052117,-0.062943976,0.010587384
100468035,0.053034582,0.070603615,0.020876395
100578435,-0.058135046,0.042782908,-0.090122147
100579935,-0.024120576,0.026953538,-0.01888892
100792935,0.110560839,0.026831931,-0.041610784
101286435,-0.013742016,-0.157812749,-0.090868701
102389135,0.07205037,0.016849794,-0.057371374
102499235,-0.031618698,0.051605794,0.08288388
102588735,-0.021990458,0.03066375,0.062600568
102268735,-0.009971677,0.003850046,0.003244259
102161735,-0.011020424,-0.050660823,0.051944656
101997735,-0.078283956,0.071122681,-0.080280402
102119135,-0.086236194,-0.022830794,-0.01941089
101581135,-0.025815645,-0.065253962,-0.108590653
102226935,-0.004427781,0.012941955,0.049417906
101008735,-0.016921783,-0.085307686,-0.055903513
100886035-2,-0.012045207,0.046668483,-0.04759412
101998235,0.062240877,0.050300359,0.02160932
100102535,-0.036093438,0.039625103,0.03737453
100220135,0.010854552,-0.051338291,0.048606153
101506535,0.007163611,0.058460513,0.076526112
100153535,-0.035375962,-0.018649929,0.056803787
100060235,0.017856512,-0.081239104,-0.039908443
102148235,-0.001218141,0.002195165,0.028983368
102560335,0.020859355,0.092220853,-0.031859848
100230735-2,-0.069938227,-0.022086165,0.01638667
102394535,0.024934076,0.038657292,-0.081578253
102151035-2,-0.051595733,0.042158653,-0.130508393
101564635,0.033060179,0.059974452,-0.027467803
101645235,0.02092704,0.084903272,0.051975563
101882235,0.027081764,0.039620489,-0.033164842
100733235,-0.062639621,0.004529181,0.045689322
100706535-2,0.040980266,0.045693524,-0.055475516
100607035,0.073185487,0.034889689,-0.077947144
100115135,-0.027872202,0.06314533,0.002250906
100303935,0.06343041,-0.026009255,0.032223793
102343635,0.049841771,0.04902714,-0.040291278
100164635,-0.004372082,0.055252329,-0.007240246
102157635,0.082576063,0.002681184,0.012980012
100163935,-0.058467825,-0.062511471,0.026348541
101561635-2,-0.005842545,0.020649866,0.045384478
101887635,-0.058361475,-0.085173962,0.012389055
102026535,0.02013263,-0.030820722,-0.002889427
100994135,0.049272785,-0.082479583,0.030002656
101166435,-0.085691867,-0.024080601,0.042254021
102181435,0.016355786,-0.006777764,0.01619325
101972835,0.016151002,-0.073053785,0.030152197
102155335-2,0.010626008,0.054684847,-0.021342383
101024835,0.052896294,-0.035426257,0.07240583
100364935,-0.013865579,0.052048205,-0.039667439
102223635,0.011878298,0.046158346,-0.052263517
100367935,5.94E-05,0.049419969,-0.067539659
100524035,-0.003195248,-0.016794014,0.056936302
100272235,0.061074828,0.047828404,-0.048068017
102249935,0.056633748,-0.022569449,0.011142359
100030035,0.079553179,0.021908337,-0.019108675
100299535,0.027098649,0.024087259,-0.003561462
100118535,0.015136505,0.04645283,-0.088768255
100723535,0.006637895,-0.012728434,0.125294689
100572435,0.056800213,-0.014160555,0.079212506
101884435-2,-0.072893851,0.011899363,-0.03103522
101981335,0.007300004,0.096866703,-0.01389213
100883835,-0.028982787,0.073532823,0.012645463
101914535,0.002709371,-0.104927617,0.003957571
100713735,0.017282714,0.002209985,-0.01521269
101901035,-0.081641771,-0.027710104,0.007532615
100017835,0.021213698,0.037366788,-0.03048965
102302935,-0.021699874,-0.102689049,-0.035676528
100391335,0.073873629,0.054964739,-0.074169247
100335635,-0.017260896,0.025797682,-0.017567894
100691935,-0.034283463,-0.03497786,0.046037786
101913135,0.008688229,0.020248836,0.059457184
100802435,-0.071900905,0.094447221,-0.028990257
100336235,0.013549664,-0.010053503,-0.017250756
101517835,0.06132526,-0.053142609,0.048191267
100242635,-0.108820983,-0.034623934,-0.011754745
101904035,-0.036072197,-0.0127429,0.057572732
101986235,0.020396421,0.059052874,-0.038658177
100139435,0.025176171,-0.00309874,-0.009029046
100147535,0.040141372,0.052417712,0.001681621
101121335,0.06205468,-0.049114587,0.003268528
100602835,-0.095108906,0.018089579,0.01135577
100382135,0.08523937,-0.02517694,0.00897739
100565435,-0.070418466,0.044290812,0.04249284
102066435,-0.007870012,0.031389336,0.026348986
101402135-2,-0.060589724,-0.033380152,-0.091665747
101350435,0.014864276,0.043043747,-0.085043874
100715135-2,0.006331743,0.097170197,-0.066350456
102010235,-0.017131952,0.041496676,0.0505968
100146935,0.01102289,0.04442844,-0.025781741
100066235,0.064305196,-0.033189859,0.062217432
101564935,0.037863763,0.022482829,-0.058952
102125535-2,0.065493396,0.007097782,0.002453891
102097035,-0.04687393,0.050302829,-0.043703556
101536335,0.032780635,0.052095032,0.039425912
100123435,0.07662945,0.049615888,-0.056494719
100080835,-0.02936276,-0.026212725,-0.035501737
100467835,0.049980864,-0.022532696,-0.047856692
102366735,0.063553598,-0.011598068,0.052256984
101559335,0.039020975,0.043965944,0.018104051
100146735,-0.053804228,-0.109619287,-0.054472676
101041235-2,-0.069542408,-0.018334656,0.041510912
102281335,-0.013255441,0.000603395,0.057659873
100182935,-0.058364428,0.004705886,0.03641126
101513135,0.016015877,0.010038632,0.080681691
101262435,0.028569449,0.029565127,0.101467296
101669135,-0.075423356,0.03260378,0.05464287
100117235,0.054434006,0.063274005,0.038001067
100076935,0.05098097,-0.009292723,0.05780085
100496735,0.06141485,-0.038363574,0.017137652
102042935,0.078724315,0.042953962,-0.051379415
100186835-2,0.09175601,0.031209035,-0.062745913
100113735,-0.015269644,0.038807063,0.096584644
102238935,0.012468981,0.071258313,-0.034829134
101987635,-0.067100466,0.064097207,-0.081005379
102089235,0.042541323,0.069141254,-0.056222218
100072435,0.072048628,0.024366801,-0.07699613
101025735,0.066781481,0.062395721,-0.018739293
100744235,0.039049187,-0.062404593,0.003321465
102137335,-0.037761531,-0.009307551,0.034079255
100854535,-0.065819027,0.061884734,-0.04793079
100092535,0.074188449,0.033865671,-0.015470636
101354835,0.028321576,-0.044164434,0.060661547
101989335,-0.04317463,-0.11406441,-0.030875335
102149035,-0.078332404,0.026246208,-0.010684609
101237535,0.024654157,-0.005996337,0.027481116
100147835,0.040625169,-0.056597296,0.074497164
100432735,-0.078006958,-0.053811637,-0.015617873
100494835,0.020313908,0.095897553,-0.020674751
101558435,0.110186987,-0.004552887,-0.058007161
102033235,-0.060397319,0.022065866,0.028842335
101505835,-0.030081065,0.063471652,-0.028503902
100260835,0.059304171,-0.053138897,0.029597938
101281235,0.13394021,-0.054530004,-0.050809965
101883835,0.044444894,-0.008857011,0.05014346
102208035,-0.016885603,0.084084439,-0.034187903
100073835-2,-0.054422127,0.004755399,-0.05778954
102140635,0.024575464,-0.052005115,0.106094465
101635835,-0.083261154,-0.043200139,-0.014413648
102192035,0.037221006,0.050176558,0.012407914
101043135,0.037373988,-0.074760053,0.014855888
101012535,0.009259309,0.079275768,-0.036721982
101699835,0.028948968,-0.03280006,0.090596363
102273535,0.004419875,0.099868869,-0.077758893
100166135,0.058723786,-0.025350018,0.037832259
101949035,-0.014441004,-0.032689631,0.035154369
100604935,-0.086827068,0.004910364,0.01544852
101399835-2,0.037312117,0.052415097,-0.111653654
100566335,0.062631292,0.046518544,-0.029256636
100306835,-0.003276054,0.063883717,-0.022687099
100245135,0.08882752,-0.003396011,0.045566987
102066935,0.106170069,0.016190721,-0.053593164
100588735,-0.077945239,0.03065826,-0.010070967
100079835,-0.101082706,-0.029785193,-0.018014175
100085435,0.020184189,0.022162178,-0.119155629
100756235,-0.070524553,0.019010071,0.068749451
100974035-2,-0.09570911,-0.014271638,-0.066180715
102213135,-0.041055269,0.044581215,-0.091112513
101043635,0.124517325,-0.052238646,0.026989856
101910435,-0.017046945,0.028465072,0.003940145
100023935,0.083024896,-0.054316073,0.032249081
101355135,0.014764881,0.061857386,-0.060646045
101170835,-0.077808655,-0.083576725,-0.030897998
102015435,0.058202874,-0.067807571,-0.02158292
102226135,0.066039195,-0.03082112,0.039360928
100306235,-0.046983135,0.049308567,0.005883425
100048635,-0.110812576,0.002618964,-0.046081218
100732135,-0.004689453,0.010549749,0.005199968
100569235,-0.035541742,0.019485402,0.075757611
