"","taxon","lfc_(Intercept)","lfc_Crohn_case_control","se_(Intercept)","se_Crohn_case_control","W_(Intercept)","W_Crohn_case_control","p_(Intercept)","p_Crohn_case_control","q_(Intercept)","q_Crohn_case_control","diff_(Intercept)","diff_Crohn_case_control","passed_ss_(Intercept)","passed_ss_Crohn_case_control"
"11","ca39c1dfb5e738c293917a0ab7391c33",0.984031207733036,-1.13807332001666,0.0586108556296703,0.302470550807568,16.7892312296307,-3.762592149808,2.85168105719328e-06,0.00936992678076274,0.000159694139202824,0.487236192599662,TRUE,FALSE,FALSE,FALSE
"12","7d669e880492b330a9c9c649f65c2ba6",-0.148542106031893,0.612070258548213,0.138974125050757,0.255509298226069,-1.06884721150532,2.39549113397301,0.302038170210095,0.0300888648053957,1,1,FALSE,FALSE,TRUE,FALSE
"13","494975433cf1f940b003816db0232f8b",5.96302107513822,-6.39335051398501,0.0499194230296548,0.196518476227805,119.452924598024,-32.5330759565518,2.94551487870062e-08,5.32255484318135e-06,1.67894348085935e-06,0.000303385626061337,TRUE,TRUE,FALSE,FALSE
"14","b67b924653e2ba692fd3ea7c8f75c2ee",1.15519898339535,-1.32298841068978,0.0499194230296548,0.198614033553758,23.1412727408548,-6.66110237538522,0.00186213484288122,0.0218032252948854,0.100555281515586,1,FALSE,FALSE,TRUE,TRUE
"15","632a77028290d1ecbd9bfe2958610b8c",0.212179494110776,0.155400221846333,0.21620741591027,0.356194080095043,0.98137010341419,0.436279631050769,0.332959875188609,0.665239210962541,1,1,FALSE,FALSE,TRUE,TRUE
"16","5b239eddc0c4c102c7f721bae475cf22",0.328040524176324,-0.383335120828489,0.262636960810286,0.370774096305216,1.24902650093215,-1.03387783733665,0.221643814730489,0.309738483224418,1,1,FALSE,FALSE,TRUE,TRUE
"17","51c79d7c5c2260b32f6ad5b82272898e",-0.345028876213993,0.743972912176355,0.150465445579087,0.226127199717568,-2.29307715725761,3.2900637919966,0.0510192019357564,0.0110209886168625,1,0.551049430843125,FALSE,FALSE,TRUE,TRUE
"18","20f887a0f58476d52027e0798805c1d2",-0.0515124532912499,0.396986227385914,0.222506368676633,0.312289152390527,-0.231510017432861,1.27121363117176,0.820522725428836,0.22592765359292,1,1,FALSE,FALSE,TRUE,TRUE
"19","3a4c1eb8dbc9f93fbbfbd8702754c0df",0.0174330048316828,0.370732472152053,0.196681933259588,0.264774764381051,0.0886355169626799,1.40018053842364,0.930471538590088,0.180551840606144,1,1,FALSE,FALSE,TRUE,TRUE
"20","969732ae717bf5a9282f4781499aadb4",0.0550521621271694,0.449276011124574,0.301989338545701,0.571880178527829,0.182298363221317,0.785612140433211,0.856498562222155,0.437873319177579,1,1,FALSE,FALSE,TRUE,TRUE
"21","81b95cf5e2e0e3f7579b7dfa4b2ebed0",-0.0267734778748964,0.622008344268281,0.337509142645116,0.516650185457952,-0.0793266744274485,1.20392552209565,0.937224618765932,0.23669770071528,1,1,FALSE,FALSE,TRUE,TRUE
"22","26de4690cd2c89c490c37a8d1418d67a",0.109634357790372,0.241472255388891,0.172288838458645,0.306890579349396,0.636340454617948,0.786835020810379,0.530117213085864,0.438492139740897,1,1,FALSE,FALSE,TRUE,FALSE
