"","taxon","lfc_(Intercept)","lfc_Crohn_case_control","se_(Intercept)","se_Crohn_case_control","W_(Intercept)","W_Crohn_case_control","p_(Intercept)","p_Crohn_case_control","q_(Intercept)","q_Crohn_case_control","diff_(Intercept)","diff_Crohn_case_control","passed_ss_(Intercept)","passed_ss_Crohn_case_control"
"32","386a607b118090dd71bfc8b4b4081447",-0.129911408563421,0.817957830632896,0.24068241704831,0.337594198334047,-0.539762771857761,2.42290251037884,0.592683991706213,0.0205546074813771,1,0.945511944143347,FALSE,FALSE,TRUE,FALSE
"33","afce1dc2c06acb90ad5d3da0fffbcd02",-0.341778580308691,0.792314027419692,0.130580839594808,0.260169125305086,-2.61737159424943,3.04538067878189,0.027931063160561,0.0138963738250803,1,0.694818691254016,FALSE,FALSE,TRUE,TRUE
"34","1c6bf8efe709f63c28e0225da6870395",-0.217833306961369,0.99380162742879,0.184955567804206,0.277128546984052,-1.17776020234204,3.58606732595462,0.24661967446434,0.000989029251230246,1,0.0543966088176635,FALSE,TRUE,TRUE,TRUE
"35","f2d099ef5556f02539ded15181a3d994",-0.239301249968033,1.03673751344212,0.310352098597806,0.417960618386735,-0.771063740342708,2.48046698141985,0.44570069330017,0.0179319141124475,1,0.860731877397478,FALSE,FALSE,TRUE,FALSE
"36","304a3df568087b761af6bca76a3816aa",-0.44568415656481,0.664648550862639,0.108443052744043,0.240927150286067,-4.10984517022732,2.75871171046295,0.00628745441497473,0.0329100624459999,0.320660175163711,1,FALSE,FALSE,TRUE,FALSE
"37","2ddd18d49a8163e0fc79e28ea6273254",0.500908776658432,-0.337202625896349,0.223436565801605,0.355843891047764,2.2418388631304,-0.947613923913302,0.0358998620801397,0.354103943353053,1,1,FALSE,FALSE,TRUE,TRUE
"38","42604f7f8bfc866837a5370b4b667382",-0.181362998989866,0.659925432065717,0.182321710641081,0.283747911706001,-0.994741648441952,2.32574551156339,0.332362534011616,0.0312558067255302,1,1,FALSE,FALSE,TRUE,TRUE
"39","de4edf45ab75f6490e1ada65b0e0306f",-0.030535392847666,0.0017462126868253,0.0498327950664103,0.197862809250109,-0.612756976745388,0.0088253709398111,0.58335949213595,0.99351253627012,1,1,FALSE,FALSE,TRUE,FALSE
"40","e1a9800482df461df81429b3b8f859a1",0.14949934742202,0.0556746246774619,0.228019173583008,0.32088778185169,0.655643756061578,0.173501852754225,0.517813444070724,0.863600724142347,1,1,FALSE,FALSE,TRUE,TRUE
"41","c38ee4acf990375c9b9df651cf77bf7c",0.20716049995742,-0.00176533484085079,0.283880368363768,0.393024828587064,0.729745776896983,-0.00449166238987297,0.471606946620894,0.996448033604038,1,1,FALSE,FALSE,TRUE,TRUE
"42","321b7763c5946d79f50284281735d5b0",-0.200778461671713,0.781014127613789,0.116144627764089,0.209371758946039,-1.72869348791174,3.73027447228486,0.10584308130463,0.00223906086347686,1,0.12090928662775,FALSE,FALSE,TRUE,TRUE
"43","01491b7ad3b35c7e644dd24ae831bee2",-0.17176889409602,0.672620573797187,0.174832636575603,0.278028234508378,-0.982476140956332,2.41925276037717,0.334919968405308,0.0228492486853353,1,1,FALSE,FALSE,TRUE,TRUE
"44","a67690654fca1914946ee270222b7247",-0.0141127008563427,0.493034081927489,0.269916555893369,0.354394274539961,-0.0522854213578434,1.39120216478524,0.958616498157659,0.173473187011637,1,1,FALSE,FALSE,TRUE,TRUE
"45","95c08da59378a0eb674c2b7dab943428",-0.160517874873931,0.671738512377044,0.171288665710881,0.316840698127136,-0.937119068607087,2.12011435509305,0.355716624450278,0.0418445436828823,1,1,FALSE,FALSE,TRUE,FALSE
"46","6a49b0df18b1abfe220ecc00d5cbf296",-0.0789945134787017,0.488802718135982,0.192051805634216,0.29803893400394,-0.411318775253566,1.6400633016944,0.683970187895267,0.112180281150475,1,1,FALSE,FALSE,TRUE,TRUE
"47","5c4a1032c65d0d99d6d6bee379b63a2c",0.0771400039318223,0.15151950567262,0.201732398749366,0.345968327757545,0.382387779107618,0.437957736347489,0.706207002922991,0.666110431019044,1,1,FALSE,FALSE,TRUE,TRUE
"48","c4228a5878f56464e576996e95eefc5e",0.152819206719336,0.30139312361362,0.16480884224379,0.265476335931374,0.927251260543903,1.13529186153725,0.366774452757295,0.272006626870879,1,1,FALSE,FALSE,TRUE,TRUE
"49","f55e6f0203460ecfb665c9dbc579b714",0.150741331726428,0.209538560030573,0.259754152674844,0.365768467656291,0.58032308694261,0.572872126931058,0.566891270522341,0.571848318740967,1,1,FALSE,FALSE,TRUE,TRUE
"50","b73c9d186b67a61bce0ba79c990aef39",0.101395546267848,0.329792949657892,0.185787120843102,0.295018105612441,0.545761976436874,1.11787359278598,0.591929706375595,0.278319457061154,1,1,FALSE,FALSE,TRUE,TRUE
"51","6960eba3db7d4d863d042ab497d7481a",0.081932344417876,0.358591897277012,0.200229943761991,0.341715821915335,0.40919126719262,1.04938628614586,0.686028116191346,0.30445328140665,1,1,FALSE,FALSE,TRUE,TRUE
"52","d2a7d567b64364c09cf4bea1e3f5aef5",0.00164951345302479,0.378825159906637,0.0748824212677924,0.21290836722898,0.0220280464373053,1.77928732833321,0.983480635080469,0.149808656223093,1,1,FALSE,FALSE,TRUE,FALSE
"53","6545176af2fa076f03140433793c0d00",0.242835232129856,0.0255218795639888,0.240936660929831,0.32781005508188,1.00787995978984,0.0778556946876264,0.320845542313674,0.938413005600108,1,1,FALSE,FALSE,TRUE,TRUE
"54","719ab97ff4cf3c7b809b054134f4dc70",0.308048488130752,-0.188380453807507,0.307626955413817,0.433053869975475,1.00137027236891,-0.435004665396883,0.324160257127736,0.666478834024052,1,1,FALSE,FALSE,TRUE,TRUE
"55","3fae853851bfe19cdb50e15749f373b6",0.0310711926895834,0.495992628126885,0.191598227244383,0.341924922799992,0.162168476903245,1.45058928160383,0.872079994964525,0.155552252395149,1,1,FALSE,FALSE,TRUE,FALSE
"56","a99fb503372ef5103fa41e0c743bbad2",0.0596656970517512,0.41452110725662,0.205998509346238,0.355397378822021,0.289641401974742,1.16635949491402,0.773959057923621,0.252088441874262,1,1,FALSE,FALSE,TRUE,FALSE
