"","taxon","lfc_(Intercept)","lfc_CASE_CONTROL","se_(Intercept)","se_CASE_CONTROL","W_(Intercept)","W_CASE_CONTROL","p_(Intercept)","p_CASE_CONTROL","q_(Intercept)","q_CASE_CONTROL","diff_(Intercept)","diff_CASE_CONTROL","passed_ss_(Intercept)","passed_ss_CASE_CONTROL"
"21","26de4690cd2c89c490c37a8d1418d67a",0.151902907349779,-0.202403667306818,0.10817110857543,0.162236985844439,1.40428354068179,-1.24758029898862,0.162449032546024,0.214267592266538,1,1,FALSE,FALSE,TRUE,TRUE
"22","c5bd025300b4ef0c652dd11cef56ac29",-0.0503769170751588,0.188215251860581,0.13809751800339,0.189898592187772,-0.364792342422273,0.991135582903494,0.716021668103932,0.323964783371642,1,1,FALSE,FALSE,FALSE,FALSE
"23","95251fbafeb9956f566a3da93d145d63",0.0999034107820246,0.0140630964433035,0.110976099586205,0.169938962459814,0.900224563257611,0.082753809013216,0.369345310116654,0.934150094489682,1,1,FALSE,FALSE,TRUE,TRUE
"24","cb3f42ad378ddeda014d895db355586b",0.223798288074007,-0.215125974698637,0.0960394657409478,0.154261362388171,2.33027418829744,-1.39455513271891,0.0210171249408968,0.165047740768386,0.945770622340358,1,FALSE,FALSE,TRUE,TRUE
"25","1e2270e7a0c8c2e951edc6813b58451a",-0.0178464338671643,0.174102684086281,0.112816543924026,0.176873077409798,-0.158189865124593,0.984336828622605,0.874519952703486,0.326534983726118,1,1,FALSE,FALSE,TRUE,TRUE
"26","820d3c5095323f85949bc959fd15d1b7",-0.107107190959818,0.319965090040547,0.110416085427556,0.167752093675081,-0.970032496126585,1.90736868333988,0.333817898453855,0.0586619592887961,1,1,FALSE,FALSE,TRUE,FALSE
"27","92fb114641e27921122496428e2ef0dd",-0.246195436860522,0.377962709552456,0.0577239864774848,0.12288423654145,-4.26504564019588,3.07576236130958,0.000290849367581425,0.00534563563958513,0.0151241671142341,0.267281781979257,TRUE,FALSE,FALSE,FALSE
"28","5431c93e93b57f0b74748eb702ea1e72",0.0594731648740457,0.0918583533182959,0.143829516819286,0.202324701229094,0.413497633790777,0.454014525958864,0.67978224684511,0.650418637510511,1,1,FALSE,FALSE,TRUE,TRUE
"29","7c821085a5548386a8d91fe359fa3ff3",0.376365144940434,-0.486660210548485,0.111400951088387,0.189535899618892,3.37847335470073,-2.56764133616393,0.00090601277064057,0.0111105165898788,0.0453006385320285,0.533228980489272,TRUE,FALSE,TRUE,FALSE
"30","3a8a7409bdc33da14a01ec3e3313b9a7",0.310921706494521,-0.531377027922453,0.0464051653353766,0.107075870899836,6.70015297321853,-4.96262158277964,2.77480595774431e-06,0.000100670915757146,0.000152614327675937,0.00553690036664302,TRUE,TRUE,FALSE,TRUE
"31","564e9f4d70915c0026898422d57b1431",0.264269297576916,-0.707502364185144,0.105191605408588,0.148903702893169,2.51226603634799,-4.75140879936842,0.0170643673992507,3.83037427085316e-05,0.784960900365533,0.00214500959167777,FALSE,TRUE,FALSE,FALSE
"32","386a607b118090dd71bfc8b4b4081447",0.0191382851591753,0.218811687793,0.108417975811976,0.154471428761493,0.176523173540574,1.416518831653,0.860096834607526,0.15848627931245,1,1,FALSE,FALSE,TRUE,TRUE
"33","afce1dc2c06acb90ad5d3da0fffbcd02",-0.157815788397562,0.268102593786252,0.105543665192773,0.176065297134358,-1.49526537769288,1.52274524366752,0.138422808938756,0.13140801822069,1,1,FALSE,FALSE,TRUE,TRUE
"34","1c6bf8efe709f63c28e0225da6870395",0.0184373686050225,0.229195342122335,0.0887769439982354,0.141252111271519,0.207681947301419,1.62259763807543,0.835728854253996,0.106550506387302,1,1,FALSE,FALSE,TRUE,FALSE
"35","f2d099ef5556f02539ded15181a3d994",0.132696874351083,-0.0292959383516957,0.121509035692712,0.181667197984093,1.09207412925788,-0.161261574333639,0.276392525133729,0.872084670405642,1,1,FALSE,FALSE,FALSE,TRUE
"36","304a3df568087b761af6bca76a3816aa",-0.0655625007093266,-0.249797075606038,0.0654253295999408,0.116491785674315,-1.00209660555361,-2.14433210170214,0.324585644096916,0.0405183065411512,1,1,FALSE,FALSE,TRUE,TRUE
"37","2ddd18d49a8163e0fc79e28ea6273254",0.23294643268575,-0.502449119212922,0.133168772296743,0.194753442837093,1.74925719196892,-2.57992419488681,0.0828465943527226,0.0111089370935265,1,0.533228980489272,FALSE,FALSE,FALSE,FALSE
"38","42604f7f8bfc866837a5370b4b667382",0.00208800098207726,-0.120535374926932,0.0929311587370815,0.137670566997595,0.0224682551089735,-0.875534818775299,0.982121069612568,0.383468349970305,1,1,FALSE,FALSE,FALSE,FALSE
"39","de4edf45ab75f6490e1ada65b0e0306f",-0.00917164593232642,-0.234178125006697,0.0620072210188133,0.116679122442524,-0.147912546016918,-2.0070267936927,0.883510874879872,0.0548545243621408,1,1,FALSE,FALSE,TRUE,TRUE
"40","e1a9800482df461df81429b3b8f859a1",-0.0119109144160019,-0.0351382387748715,0.101203001530875,0.156764843087108,-0.117693292054862,-0.224146167488246,0.906527284337438,0.823063175921038,1,1,FALSE,FALSE,TRUE,TRUE
"41","c38ee4acf990375c9b9df651cf77bf7c",-0.026090391686351,0.191979871956047,0.118041580656693,0.196619135230687,-0.221027129094715,0.976404823115525,0.82541283862564,0.330649918583253,1,1,FALSE,FALSE,TRUE,TRUE
