"","taxon","lfc_(Intercept)","lfc_Both_case_control","se_(Intercept)","se_Both_case_control","W_(Intercept)","W_Both_case_control","p_(Intercept)","p_Both_case_control","q_(Intercept)","q_Both_case_control","diff_(Intercept)","diff_Both_case_control","passed_ss_(Intercept)","passed_ss_Both_case_control"
"17","1e2270e7a0c8c2e951edc6813b58451a",0.137191120285472,-0.0644348944687202,0.348585997965588,0.51402667968702,0.393564632791176,-0.125353210280745,0.700805714563012,0.902319509989323,1,1,FALSE,FALSE,TRUE,TRUE
"18","820d3c5095323f85949bc959fd15d1b7",0.14824191972333,-0.0979570918893711,0.407867459633346,0.555412095278877,0.363456108650081,-0.176368308724328,0.723830095413558,0.86352521842129,1,1,FALSE,FALSE,TRUE,TRUE
"19","5431c93e93b57f0b74748eb702ea1e72",0.345198274965235,-0.59331408572349,0.493143271850419,0.589563273347604,0.699995913297062,-1.00636201837097,0.498466919797778,0.335865997277874,1,1,FALSE,FALSE,TRUE,TRUE
"20","7c821085a5548386a8d91fe359fa3ff3",0.306393553427267,-0.402839760752309,0.421062882363968,0.56131600862219,0.727666973890182,-0.717670179657128,0.480774912354196,0.486697417129846,1,1,FALSE,FALSE,TRUE,TRUE
"21","386a607b118090dd71bfc8b4b4081447",0.101659752259288,0.00662784158364877,0.287577166886501,0.496331708646752,0.353504255431415,0.0133536533495302,0.7298431556613,0.989565088700071,1,1,FALSE,FALSE,TRUE,TRUE
"22","afce1dc2c06acb90ad5d3da0fffbcd02",0.269793540782231,-0.587325655489676,0.281777979012704,0.535748953929404,0.95746850668578,-1.09627027954415,0.370222804511023,0.309236958757002,1,1,FALSE,FALSE,TRUE,TRUE
"23","1c6bf8efe709f63c28e0225da6870395",0.011003522579566,0.187940300943093,0.31294370279456,0.617865049880885,0.0351613484511925,0.304176941193429,0.972529204568486,0.76620323792689,1,1,FALSE,FALSE,TRUE,TRUE
"24","f2d099ef5556f02539ded15181a3d994",0.281065884241078,-0.352184422379931,0.336659750950506,0.47450247960698,0.834866310711429,-0.742218297092226,0.420103866297237,0.472233765845425,1,1,FALSE,FALSE,TRUE,TRUE
"25","2ddd18d49a8163e0fc79e28ea6273254",-0.206054505423744,0.543357956397668,0.333362773359751,0.591009234827641,-0.618108924842002,0.919373039164321,0.551822283118851,0.381880545522309,1,1,FALSE,FALSE,TRUE,TRUE
"26","42604f7f8bfc866837a5370b4b667382",0.0210938185626144,0.218743780639542,0.424853809307513,0.516866078897776,0.0496495926375148,0.423211716864871,0.961618841333927,0.683288471008041,1,1,FALSE,FALSE,TRUE,TRUE
"27","e1a9800482df461df81429b3b8f859a1",-0.262621485978939,0.996250291058051,0.288581748283365,0.414535554599999,-0.910041912009853,2.40329274534574,0.386523587480755,0.039683065299592,1,1,FALSE,FALSE,TRUE,TRUE
"28","c38ee4acf990375c9b9df651cf77bf7c",-0.138626578363449,0.396665026426438,0.390172239302298,0.514711025471687,-0.355295852445421,0.770655779255807,0.732832780540265,0.466120887123756,1,1,FALSE,FALSE,TRUE,TRUE
"29","321b7763c5946d79f50284281735d5b0",0.441096617466241,-1.19059206032257,0.517238171850336,0.610483287657468,0.852792082007963,-1.95024513265725,0.432716522710771,0.108636053698766,1,1,FALSE,FALSE,TRUE,FALSE
"30","01491b7ad3b35c7e644dd24ae831bee2",-0.218480032583575,0.602861443010378,0.323103614131735,0.445930873835931,-0.676191856196624,1.35191680680128,0.515917449233096,0.209395359111318,1,1,FALSE,FALSE,TRUE,TRUE
"31","a67690654fca1914946ee270222b7247",0.19625190021254,-0.270596940425985,0.387782167998501,0.58965301089236,0.506087995808252,-0.45890877418988,0.622783448304381,0.655234613000507,1,1,FALSE,FALSE,TRUE,TRUE
"32","95c08da59378a0eb674c2b7dab943428",0.677276254615201,-1.14460516312818,0.351289054175566,0.558915530063445,1.92797426098199,-2.04790366622707,0.0778551000540401,0.0631047916171016,1,1,FALSE,FALSE,FALSE,FALSE
"33","6a49b0df18b1abfe220ecc00d5cbf296",0.115014802152176,-0.0353625030900078,0.437024158894819,0.593092711266289,0.263177217577705,-0.0596239043546948,0.797757060564165,0.953629898405451,1,1,FALSE,FALSE,TRUE,TRUE
"34","5c4a1032c65d0d99d6d6bee379b63a2c",0.202552701050557,-0.279856448359664,0.623615587910075,0.702477261881393,0.324803781331657,-0.398385063183604,0.758479154118767,0.706789060903993,1,1,FALSE,FALSE,TRUE,TRUE
"35","c4228a5878f56464e576996e95eefc5e",0.372590789661736,-0.559122685551911,0.228964087399201,0.401764172394512,1.6272892133172,-1.39166885444151,0.147701059341961,0.206643220377586,1,1,FALSE,FALSE,TRUE,TRUE
"36","f55e6f0203460ecfb665c9dbc579b714",0.0128495171044094,0.0948064769514174,0.392352919296301,0.612005285913367,0.0327498954957578,0.154911206052619,0.974588841691565,0.880309799246648,1,1,FALSE,FALSE,TRUE,TRUE
"37","b73c9d186b67a61bce0ba79c990aef39",0.00753642108379168,-0.0429874822016082,0.277582509926129,0.418881551831537,0.0271502015231337,-0.102624434076048,0.979220434503824,0.921605020774697,1,1,FALSE,FALSE,TRUE,TRUE
"38","6960eba3db7d4d863d042ab497d7481a",-0.550473287970723,1.15436171748717,0.324328465175109,0.594167596685583,-1.69727096779346,1.94282172896416,0.140568222616393,0.100049723149018,1,1,FALSE,FALSE,TRUE,TRUE
"39","6545176af2fa076f03140433793c0d00",0.342482639865038,-0.587430209673064,0.588629093790252,0.848266218298122,0.581830975529518,-0.692506900547833,0.572411507677757,0.502976442033704,1,1,FALSE,FALSE,TRUE,TRUE
"40","719ab97ff4cf3c7b809b054134f4dc70",0.586332952181036,-0.962718558259848,0.316339360964188,0.592107578701734,1.85349350897694,-1.6259183176995,0.0885473667458535,0.129923385796569,1,1,FALSE,FALSE,TRUE,FALSE
"41","3fae853851bfe19cdb50e15749f373b6",0.0103012537631396,0.189344838575945,0.331780382421283,0.520157358530881,0.0310484112651948,0.364014534199278,0.975741360306166,0.722180159722043,1,1,FALSE,FALSE,TRUE,TRUE
"42","a99fb503372ef5103fa41e0c743bbad2",0.0218671822882783,0.166212981525668,0.549675661874495,0.76654165992773,0.0397819729069087,0.216834896542137,0.968921154049545,0.831979693429172,1,1,FALSE,FALSE,TRUE,TRUE
