Level,Grouping,Metric,Comparison,Model1 F,Model1 p,Model2 F,Model2 p,Model3 F,Model3 p,Model4 F,Model4 p
family,females_,simpson_e,CASE_CONTROL,5.976987534,0.015287402,5.751455131,0.017570862,4.525969205,0.034987166,6.45983257,0.011972709
family,females_,simpson_e,Crohn_case_control,6.094158588,0.015451808,4.097289173,0.046375713,3.388523514,0.070361732,3.92045988,0.051634159
family,females_,simpson_e,UC_case_control,0.010481327,0.918719109,0.021720558,0.883450233,0.811343304,0.374250309,0.140902825,0.709368347
family,females_,simpson_e,Both_case_control,3.330886769,0.074487506,4.351334632,0.043745257,1.411330273,0.246959157,2.891763357,0.100116397
genus,females_,chao1,CASE_CONTROL,9.268475493,0.002618146,7.398691016,0.007213734,4.226430116,0.041498608,5.208833245,0.023773405
genus,females_,chao1,Crohn_case_control,2.791365536,0.098247581,2.855665001,0.095045879,0.700868643,0.405656593,0.955096837,0.331790781
genus,females_,chao1,UC_case_control,5.854067671,0.017869011,5.239645311,0.026519415,2.656722473,0.112622754,3.466282336,0.069990627
genus,females_,chao1,Both_case_control,1.273017256,0.26505179,0.685250044,0.412953463,0.580367958,0.453909706,0.290991558,0.593849978
genus,females_,faith_pd,CASE_CONTROL,10.08009727,0.00171548,7.697470622,0.006156029,4.671558137,0.03222131,5.575933075,0.019398018
genus,females_,faith_pd,Crohn_case_control,2.306041548,0.132377024,3.088389067,0.082776568,0.164637396,0.686297182,0.489393093,0.486516428
genus,females_,faith_pd,UC_case_control,9.143255808,0.003378018,2.761122087,0.103098905,1.410216232,0.24349816,2.723272035,0.106726927
genus,females_,faith_pd,Both_case_control,0.820596402,0.369726456,1.765639528,0.191846975,0.680224665,0.417981354,0.89774568,0.351493095
genus,females_,observed_otus,CASE_CONTROL,9.650104951,0.002145071,7.51263267,0.00678983,3.706311208,0.05606222,5.007140919,0.026606586
genus,females_,observed_otus,Crohn_case_control,3.097200112,0.081824852,3.238792059,0.075780647,0.620529919,0.433804279,0.964251768,0.329499793
genus,females_,observed_otus,UC_case_control,7.265218874,0.008607756,5.282744283,0.025936068,2.418593161,0.129441975,3.242072287,0.079313626
genus,females_,observed_otus,Both_case_control,0.790242226,0.378652133,0.566262666,0.456384315,0.342111396,0.564307557,0.196507339,0.660961286
genus,females_,shannon,CASE_CONTROL,16.41164605,7.09E-05,11.87347477,0.000719273,8.354063097,0.004408136,11.62198834,0.000822553
genus,females_,shannon,Crohn_case_control,7.02919273,0.009475469,6.558141913,0.012370221,5.068124947,0.027866643,6.009040408,0.016732227
genus,females_,shannon,UC_case_control,4.425799723,0.038622046,1.449479473,0.23451516,2.206116194,0.146955511,1.584723694,0.215379105
genus,females_,shannon,Both_case_control,4.800194532,0.033560456,3.973911132,0.053425089,1.556717882,0.224700721,2.143772599,0.154287352
genus,females_,simpson,CASE_CONTROL,11.63826572,0.000769924,7.930049123,0.005444206,5.301085807,0.022660243,8.073254612,0.005069851
genus,females_,simpson,Crohn_case_control,7.104991857,0.009111524,5.948186654,0.017004661,4.602032647,0.035795807,6.033757694,0.016518297
genus,females_,simpson,UC_case_control,1.788552342,0.184989524,0.309146166,0.580787327,1.173836327,0.286467267,0.681151714,0.414085608
genus,females_,simpson,Both_case_control,3.073221171,0.086254025,2.620571159,0.113757812,0.681662195,0.41749696,1.01925045,0.321342238
genus,females_,simpson_e,CASE_CONTROL,3.082373362,0.080549397,2.309968722,0.130426409,2.469603267,0.118132936,3.683577895,0.056708643
genus,females_,simpson_e,Crohn_case_control,2.628767064,0.108441569,1.677890678,0.199025633,2.321287073,0.132618715,3.025151975,0.086378405
genus,females_,simpson_e,UC_case_control,0.072246323,0.788803448,0.295629058,0.589152275,0.183865198,0.670858618,0.000393172,0.984278718
genus,females_,simpson_e,Both_case_control,3.929825609,0.053428527,4.299740197,0.044946652,1.544579417,0.226458963,2.749267273,0.108462194
