#Feature ID,Kingdom,Pyhlum,Class,Order,Family,Genus,Species
1a8e53c0b7b6fcdafb74235f43126d61,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_gingivalis
2d11d2ae39cc7a5e49968d3672655900,k__Bacteria,Unclassified k__Bacteria,Unclassified k__Bacteria,Unclassified k__Bacteria,Unclassified k__Bacteria,Unclassified k__Bacteria,Unclassified k__Bacteria
5733aa5932117f674b51857ab7817f3c,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Bergeyella,s__Bergeyella_sp._HMT_322
860379b0caea95824ac8035507127cb1,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
ca369886ea9ac3b7f46e4b689d923412,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
d443336856d0f92cb7d7905a1bfae7b4,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Oribacterium,s__Oribacterium_asaccharolyticum
1982d602ae789aa6922c84379e82f28a,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,Unclassified g__Fusobacterium
645dd8b575c7e7c0952933bbe90b4bb9,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_aeruginosa
564e9f4d70915c0026898422d57b1431,k__Bacteria,p__Firmicutes,Unclassified p__Firmicutes,Unclassified p__Firmicutes,Unclassified p__Firmicutes,Unclassified p__Firmicutes,Unclassified p__Firmicutes
a46191a689dc2198a522ebf5b27fb677,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Lachnoanaerobaculum,s__Lachnoanaerobaculum_umeaense
b9d3219b7cadd26a376d15e1eebf106d,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Schaalia,s__Schaalia_lingnae_[Not_Validly_Published]
6d7f5d0d0554164cd98834472b956eec,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
af7dcd5cd130f95364c0d37723fd83ad,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__Alloprevotella_sp._HMT_473
5c4a1032c65d0d99d6d6bee379b63a2c,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Lachnospiraceae_[G-2],s__Lachnospiraceae_[G-2]_bacterium_HMT_096
710fde900c864206b05bb0b4b16e6f0f,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,Unclassified g__Leptotrichia
eadcb68ceb94c198335f64abd7f442a0,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,Unclassified g__Capnocytophaga
494975433cf1f940b003816db0232f8b,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Haematobacter,s__Haematobacter_missouriensis
6d547ff67cfe5d9e34df30bdedd05db0,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium_periodonticum
908d85bc0d55d2150a92bf48772b2b3f,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia_sp._HMT_221
a51b92ba3872e90f671576ad08b59ade,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Lachnoanaerobaculum,s__Lachnoanaerobaculum_orale
e61d97fa82b67a440b2315d678d299eb,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,Unclassified g__Neisseria
56b08b3fbdf6bf8b41c0864c5c53c524,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,Unclassified g__Streptococcus
d5d8e2716a11844a2026bb0722de1073,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_oulorum
c7724cd29323e7cdbcf29601a5a6558a,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,Unclassified g__Actinomyces
288692960f6deddbef8335047c2b6cbc,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__Alloprevotella_sp._HMT_473
e924271260411e885401de5355fc6814,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
f2d099ef5556f02539ded15181a3d994,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Gemellaceae,g__Gemella,Unclassified g__Gemella
5dd37101a39d96cb3e283a5ec2c99fcf,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Stomatobaculum,s__Stomatobaculum_sp._HMT_097
25be8565bb6d4b0ebcfc117225491be2,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
533250322e715fb120a413f565c97ac6,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_nigrescens
a550440c07634d574b0478021376109c,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_oris
6a5bebbb82a396467e373f1d294a8474,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._HMT_305
e7ef92a29e265a3f616b477f54e462dd,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__Rothia_mucilaginosa
ecd7a4f5f3d286321123fbf1a6eb3c11,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_gingivalis
d8ea989212e8cd1f9f7bf44a251c13a0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,g__Cardiobacterium,s__Cardiobacterium_hominis
b6597ed0ca2addf7349b5e40cf56bea4,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_salivae
369fbaf59b969dfaa6af5bc7f769fd49,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_salivae
b21bbc630376fdeea3d592a807d5f0d8,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,Unclassified g__Campylobacter
023dacb5ea66c0dde52536497db76f80,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._HMT_396
1c6bf8efe709f63c28e0225da6870395,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,Unclassified g__Streptococcus
8ec58a12417250f652a8b3329977e0a6,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,Unclassified g__Selenomonas
95c08da59378a0eb674c2b7dab943428,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Oribacterium,s__Oribacterium_sinus
2094eb267910dcd8989f988b3b1d22cc,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Lachnoanaerobaculum,s__Lachnoanaerobaculum_umeaense
820d3c5095323f85949bc959fd15d1b7,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_matruchotii
c0a220e90a423d039e85bd49c6b0f7a2,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Aggregatibacter,Unclassified g__Aggregatibacter
a3e5ab62444a87b5da99bb7d1d12f8f6,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,Unclassified g__Haemophilus
01491b7ad3b35c7e644dd24ae831bee2,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Catonella,s__Catonella_morbi
44190ee4183dfc7b7c32c8a7f1415bfa,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_gingivalis
fbfb2d87e3e9be223ed36852513d8bed,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_pallens
e7e7687f1f2196ab6ea2ad9f93e858e9,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_baroniae
652792943c85691f77003395e5123d32,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__Alloprevotella_sp._HMT_473
6985cade0eb836e21f149f8dbf0b2bc6,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
6c97b88c463cca7614de1d9c0b3d541b,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_oralis
c99ef27a6a99d35c3da0b2889c5b22f6,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_oris
ddca2154a95a110099539ad402c7a54d,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas_sp._HMT_930
539b3bdf2d754be3e42face24e56e2b6,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia_hongkongensis
fb8ddfb6886f3b08315ca8bbab50a788,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_oris
a2f39bc23de50b91c6a65d69f7870f3f,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,Unclassified g__Haemophilus
87c24218a43a5cb04641b02044a0fa2d,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Oribacterium,s__Oribacterium_parvum
6bf2414103f2ae11f0f872d03d711d31,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,s__Parvimonas_micra
d883921668800f4a00f72001c77f3993,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium_nucleatum_subsp._vincentii
defa302fbc7847b6b5074d0d0b89a917,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,Unclassified g__Haemophilus
eddd987cdbc6ab0e659bbc6abff65db5,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
a669cdf6f3933b4cf1eeceed6cdb75b9,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,Unclassified g__Alloprevotella
1e2270e7a0c8c2e951edc6813b58451a,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_graevenitzii
ba4cd9813ef84446b4d39b3b2f7967fd,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Aggregatibacter,Unclassified g__Aggregatibacter
282277b903dcbaca10b49e8255a34eb3,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,Unclassified g__Veillonella
76677892a4dd300bba8b7b441734111b,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,Unclassified g__Haemophilus
eded7214e8c99bcaeed92cae1b849d42,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
321b7763c5946d79f50284281735d5b0,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Butyrivibrio,s__Butyrivibrio_sp._HMT_455
6545176af2fa076f03140433793c0d00,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,Unclassified g__Selenomonas
039c68699ee94612d7145fad033c2d14,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
a447929d1e4c65043f4d64a314f2fa88,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._HMT_315
3a8a7409bdc33da14a01ec3e3313b9a7,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,Unclassified g__Staphylococcus
9c7b78c7bd978735f1b2d363cb7c54be,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
1ce0d1cfa2c68160f70e20616d2d4bc2,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__Rothia_aeria
5e2234f3c03666523f77e8fd60ae43d0,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,Unclassified g__Veillonella
4d53cddbfd3d4bd31f5885bd6884990a,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Kingella,Unclassified g__Kingella
b959b7f49b64d68af7a2577c1ee807d6,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_oralis
95251fbafeb9956f566a3da93d145d63,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__Rothia_dentocariosa
17ea4efbae7d1e0cbb854c63c30043ce,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._HMT_309
acacb2e5beffbdec620589f9ff0a6c6d,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
33f36ef1ee4ca96f5cf7b45b596495a5,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Tannerella,Unclassified g__Tannerella
a6dc1381785e1b7f4b5fd90c66bc60dd,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas_sputigena
5279cf5bf096ad48a90a13a9caa1643e,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,Unclassified g__Veillonella
b93ced05698da8acbc9b96035d14576a,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella_sp._HMT_780
2b19a6fb1cc75370b9e97ff4da6d2892,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema_denticola
ca39c1dfb5e738c293917a0ab7391c33,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Serratia,s__Serratia_marcescens
9485c40b0abeb5e31441b9704caa3b24,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia_buccalis
14c60835717629d1ccd771574cc98365,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter_sp._HMT_044
83916fb7ef06573f9a415f9c82eac68b,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_leadbetteri
250a576e3788b3f444938c7b08afb2e3,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,Unclassified g__Neisseria
12c715419aef32143be552666f6099f4,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_sp._HMT_018
632a77028290d1ecbd9bfe2958610b8c,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
6d60f35ea0ac713e9c0c02e9c12915b8,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,Unclassified g__Streptococcus
f28d813d7bdd596b5208205e93b4d0de,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._HMT_396
d4d21798076991c2d555331ea484129c,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__Alloprevotella_sp._HMT_914
e1c330afdd7d0e11de5686828f0e5dd6,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_nanceiensis
d52af2ab32fe93301f13cfcc445514c8,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_oulorum
b73c9d186b67a61bce0ba79c990aef39,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_[G-1],s__Ruminococcaceae_[G-1]_bacterium_HMT_075
8e015fe79b48dab7a5e0049958ccaad0,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Stomatobaculum,s__Stomatobaculum_sp._HMT_097
8daab49003dfc975db2139efcdb6f57a,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
2dc2cf60102ff00cd077f2304ec84d06,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,Unclassified g__Streptococcus
123249ae7edc1a5664e2a52fb41d171c,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,Unclassified g__Neisseria
6a49b0df18b1abfe220ecc00d5cbf296,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Lachnoanaerobaculum,s__Lachnoanaerobaculum_orale
d2a7d567b64364c09cf4bea1e3f5aef5,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonellaceae_[G-1],s__Veillonellaceae_[G-1]_bacterium_HMT_155
64c062cc30c6527ff9983d28a21b5524,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._HMT_472
4679cc695527888b23df9e041b1e7465,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,Unclassified g__Fusobacterium
095a353a5d899299af8396854470012d,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia_sp._HMT_215
73fef4bd3bc34aa1432a7156fc0bb518,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema_lecithinolyticum
b6cada6727ff2cfd7a9030266d599534,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Schaalia,s__Schaalia_lingnae_[Not_Validly_Published]
22934af8e08de5a0b375f5fb6ecd3261,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,Unclassified g__Porphyromonas
6960eba3db7d4d863d042ab497d7481a,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister_invisus
f89c7fdb6fc99d4c1577b053099f4770,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella_sp._HMT_917
386a607b118090dd71bfc8b4b4081447,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,s__Granulicatella_adiacens
fa202bcdb1a1472b3a509ca0a87eac4e,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_durum
d853186bfd98a684c13fe432ce8d5455,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,Unclassified g__Fusobacterium
ae8c7fbfbf113428bb60eba1bd57bbdc,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,Unclassified g__Treponema
97a57a74dd327e02f6cb1a13d75ba872,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Oribacterium,s__Oribacterium_parvum
86286586dd4c70eee9a34dd2ac04b280,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_granulosa
afce1dc2c06acb90ad5d3da0fffbcd02,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Abiotrophia,s__Abiotrophia_defectiva
81b95cf5e2e0e3f7579b7dfa4b2ebed0,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_sputigena
